Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek
320.0,870.0,180.0,CO,IAH,PHX,5
3045.0,365.0,66.0,OO,DSM,MKE,2
1560.0,740.0,257.0,DL,SEA,CVG,7
1156.0,595.0,235.0,WN,SNA,MDW,7
1873.0,530.0,133.0,CO,IAH,MCO,6
3641.0,1045.0,160.0,MQ,MIA,CMH,1
138.0,1160.0,185.0,WN,BDL,MCO,7
586.0,700.0,142.0,AS,PDX,SNA,2
5220.0,895.0,102.0,EV,AEX,ATL,2
5122.0,516.0,137.0,EV,DTW,MCI,7
1663.0,1210.0,121.0,US,CLT,STL,6
1800.0,1050.0,177.0,CO,FLL,EWR,3
3022.0,1175.0,76.0,XE,IAH,GPT,1
2062.0,1175.0,74.0,XE,IAH,LRD,3
315.0,482.0,134.0,UA,DFW,DEN,4
386.0,535.0,120.0,AA,ORD,LGA,7
1053.0,991.0,96.0,DL,ATL,ORF,3
3959.0,635.0,110.0,MQ,LIT,ORD,5
147.0,693.0,123.0,FL,DTW,ATL,2
3894.0,435.0,125.0,9E,TUL,MSP,3
2430.0,530.0,100.0,DL,BNA,DTW,5
2959.0,1170.0,96.0,DL,MSP,STL,7
71.0,675.0,190.0,US,PHX,SEA,4
1846.0,915.0,130.0,WN,ONT,DEN,7
113.0,376.0,35.0,HA,HNL,LIH,4
3659.0,1185.0,125.0,MQ,MIA,GSO,5
3923.0,360.0,98.0,9E,IAH,MEM,1
2612.0,910.0,160.0,WN,MDW,DEN,6
418.0,585.0,95.0,WN,RNO,PDX,2
5921.0,835.0,78.0,XE,DTW,ORD,2
1066.0,615.0,100.0,AA,DFW,BNA,5
256.0,1175.0,145.0,UA,DEN,ORD,2
1971.0,1195.0,70.0,WN,MSY,HOU,5
6332.0,565.0,136.0,OH,CVG,JAX,3
826.0,960.0,65.0,WN,PDX,BOI,5
824.0,1085.0,90.0,WN,SAN,SFO,7
1459.0,995.0,205.0,AA,LGA,MIA,5
2402.0,1068.0,187.0,DL,MIA,DTW,7
2649.0,515.0,64.0,YV,LAX,LAS,6
367.0,360.0,85.0,WN,MDW,BNA,3
2864.0,355.0,90.0,MQ,SGF,DFW,4
1700.0,525.0,160.0,DL,ATL,BOS,5
2287.0,595.0,75.0,AA,TUL,DFW,7
4952.0,819.0,176.0,EV,ELP,ATL,5
478.0,435.0,115.0,UA,SFO,PDX,1
156.0,454.0,37.0,HA,HNL,OGG,2
5177.0,855.0,48.0,EV,ATL,CHA,4
526.0,600.0,70.0,WN,SAN,PHX,1
1037.0,675.0,70.0,WN,OMA,STL,6
250.0,470.0,155.0,WN,MCO,STL,3
810.0,790.0,210.0,CO,IAH,EWR,5
2214.0,675.0,195.0,DL,SEA,MSP,7
6952.0,558.0,159.0,OO,DEN,SBA,6
3210.0,520.0,70.0,MQ,HOU,DFW,3
2998.0,785.0,90.0,XE,IAH,MEM,2
2587.0,959.0,171.0,DL,RSW,DTW,1
511.0,1080.0,170.0,AS,SNA,SEA,7
6572.0,1132.0,48.0,OO,ASE,DEN,4
1589.0,890.0,210.0,CO,IAH,SAN,2
903.0,445.0,225.0,WN,OAK,HOU,3
133.0,593.0,117.0,UA,LAS,DEN,5
1704.0,1265.0,81.0,CO,IAH,OKC,3
1475.0,800.0,190.0,AA,DFW,LAS,5
5237.0,875.0,109.0,EV,BOS,DCA,6
4975.0,575.0,103.0,EV,CVG,ATL,2
4398.0,735.0,67.0,9E,ATL,BNA,5
2863.0,878.0,91.0,XE,MOB,IAH,7
1764.0,1077.0,74.0,US,CLT,DCA,4
2810.0,995.0,158.0,DL,FLL,MEM,1
1710.0,1090.0,175.0,WN,PHX,STL,1
1963.0,720.0,164.0,DL,DCA,MSP,7
742.0,1225.0,120.0,WN,DEN,STL,3
4658.0,735.0,155.0,MQ,LGA,ATL,7
1041.0,425.0,190.0,AA,BOS,ORD,7
5261.0,570.0,70.0,EV,MEM,XNA,2
969.0,955.0,125.0,WN,BWI,MDW,4
6915.0,825.0,107.0,OO,ORD,LIT,4
1494.0,660.0,155.0,AA,DFW,FLL,5
1716.0,840.0,165.0,AA,DFW,BWI,2
1137.0,515.0,158.0,FL,FLL,MDT,5
3615.0,520.0,170.0,MQ,MIA,CLE,1
1622.0,740.0,220.0,AA,PDX,DFW,1
3832.0,490.0,70.0,WN,BWI,BDL,1
1752.0,1315.0,108.0,DL,ATL,IAD,5
5280.0,1010.0,66.0,EV,XNA,MEM,4
2332.0,470.0,117.0,DL,PBI,ATL,2
5998.0,720.0,133.0,XE,ORD,OKC,5
870.0,850.0,372.0,AS,ANC,HNL,5
6364.0,385.0,47.0,OO,SBA,LAX,4
2166.0,600.0,80.0,US,DCA,LGA,5
896.0,787.0,119.0,UA,ORD,IAD,4
5110.0,1100.0,79.0,EV,MOB,ATL,5
2955.0,590.0,280.0,WN,FLL,DEN,6
2788.0,435.0,73.0,DL,MSP,MKE,5
4340.0,725.0,110.0,9E,TPA,RDU,2
4111.0,1200.0,115.0,MQ,ORD,CLT,3
949.0,1015.0,65.0,AA,MCO,MIA,1
1587.0,1139.0,148.0,DL,ATL,MCI,5
1698.0,1326.0,108.0,US,CLT,PVD,2
1396.0,1210.0,85.0,WN,OAK,LAS,1
288.0,700.0,90.0,WN,MDW,MCI,1
1972.0,725.0,113.0,US,RSW,CLT,3
5597.0,507.0,71.0,EV,AGS,ATL,6
2499.0,819.0,133.0,XE,IAH,ABQ,3
319.0,600.0,170.0,AA,LGA,ORD,1
1281.0,420.0,160.0,DL,MIA,MEM,1
6746.0,360.0,47.0,OO,PSP,LAX,5
6534.0,686.0,100.0,OO,DEN,IDA,2
2352.0,770.0,190.0,WN,SAN,MCI,4
